timestamp,value,status,longitude,latitude
22:44:39,45,ARMED,11.649727,76.166992
22:44:40,42,ARMED,11.650727,76.167492
22:44:41,40,ARMED,11.649727,76.166992
22:44:42,44,ARMED,11.650227,76.166992
22:44:43,42,ARMED,11.650227,76.166492
22:44:44,45,ARMED,11.649727,76.167492
22:44:45,45,ARMED,11.649727,76.166992
22:44:46,42,ARMED,11.650227,76.167492
22:44:47,43,ARMED,11.650227,76.167492
22:44:48,43,ARMED,11.650727,76.167492
22:44:49,45,ARMED,11.650727,76.166992
22:44:50,40,ARMED,11.650227,76.166492
22:44:51,40,ARMED,11.649727,76.167492
22:44:53,45,ARMED,11.650727,76.166492
22:44:54,41,ARMED,11.650227,76.167492
22:44:55,42,ARMED,11.650727,76.167492
22:44:56,42,ARMED,11.650227,76.166492
22:44:57,40,ARMED,11.649727,76.166492
22:44:58,41,ARMED,11.650227,76.167492
22:44:59,43,ARMED,11.649727,76.166492
22:45:00,40,ARMED,11.650227,76.167492
22:45:01,43,ARMED,11.649727,76.167492
22:45:02,41,ARMED,11.650727,76.167492
22:45:03,40,ARMED,11.650727,76.166492
22:45:04,42,ARMED,11.650227,76.166992
22:45:05,43,ARMED,11.650227,76.166492
22:45:06,41,ARMED,11.649727,76.167492
22:45:07,44,ARMED,11.649727,76.167492
22:45:08,45,ARMED,11.649727,76.166992
22:45:09,44,ARMED,11.650727,76.166992
22:45:10,41,ARMED,11.650727,76.166992
22:45:11,40,ARMED,11.649727,76.166492
22:45:12,41,ARMED,11.649727,76.167492
22:45:13,43,ARMED,11.649727,76.167492
22:45:14,40,ARMED,11.650227,76.166492
22:45:15,43,ARMED,11.650227,76.166992
22:45:17,43,ARMED,11.649727,76.167492
22:45:18,41,ARMED,11.649727,76.167492
22:45:19,40,ARMED,11.650227,76.166992
22:45:20,45,ARMED,11.649727,76.166492
22:45:21,45,ARMED,11.650227,76.166492
22:45:22,43,ARMED,11.649727,76.167492
22:45:23,41,ARMED,11.649727,76.167492
22:45:24,45,ARMED,11.650727,76.166492
22:45:25,44,ARMED,11.650727,76.166992
22:45:26,40,ARMED,11.650727,76.166492
22:45:27,41,ARMED,11.650227,76.167492
22:45:28,43,ARMED,11.649727,76.166492
22:45:29,44,ARMED,11.650727,76.166492
22:45:30,45,ARMED,11.650727,76.167492
22:45:31,42,ARMED,11.649727,76.166992
22:45:32,41,ARMED,11.650727,76.166992
22:45:33,43,ARMED,11.650227,76.167492
22:45:34,40,ARMED,11.650727,76.166992
22:45:35,44,ARMED,11.650227,76.167492
22:45:36,41,ARMED,11.649727,76.167492
